"study","product","status","n_features","n_samples","se_rds","assay_rds","colData_rds","se_bytes"
"FengQ_2015","relative_abundance","OK",606,154,"EDA/Kaitlyn_EDA/data/collect//FengQ_2015_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__FengQ_2015_relative_abundance.rds",275148
"FengQ_2015","pathway_abundance","OK",22131,154,"EDA/Kaitlyn_EDA/data/collect//FengQ_2015_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__FengQ_2015_pathway_abundance.rds",3962916
"FengQ_2015","pathway_coverage","OK",22131,154,"EDA/Kaitlyn_EDA/data/collect//FengQ_2015_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__FengQ_2015_pathway_coverage.rds",3016904
"GuptaA_2019","relative_abundance","OK",308,60,"EDA/Kaitlyn_EDA/data/collect//GuptaA_2019_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__GuptaA_2019_relative_abundance.rds",212864
"GuptaA_2019","pathway_abundance","OK",12535,60,"EDA/Kaitlyn_EDA/data/collect//GuptaA_2019_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__GuptaA_2019_pathway_abundance.rds",831852
"GuptaA_2019","pathway_coverage","OK",12535,60,"EDA/Kaitlyn_EDA/data/collect//GuptaA_2019_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__GuptaA_2019_pathway_coverage.rds",624612
"HanniganGD_2017","relative_abundance","OK",292,81,"EDA/Kaitlyn_EDA/data/collect//HanniganGD_2017_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__HanniganGD_2017_relative_abundance.rds",213704
"HanniganGD_2017","pathway_abundance","OK",8585,81,"EDA/Kaitlyn_EDA/data/collect//HanniganGD_2017_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__HanniganGD_2017_pathway_abundance.rds",800704
"HanniganGD_2017","pathway_coverage","OK",8585,81,"EDA/Kaitlyn_EDA/data/collect//HanniganGD_2017_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__HanniganGD_2017_pathway_coverage.rds",605924
"HMP_2012","relative_abundance","OK",740,147,"EDA/Kaitlyn_EDA/data/collect//HMP_2012_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__HMP_2012_relative_abundance.rds",256552
"HMP_2012","pathway_abundance","OK",27469,147,"EDA/Kaitlyn_EDA/data/collect//HMP_2012_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__HMP_2012_pathway_abundance.rds",2960212
"HMP_2012","pathway_coverage","OK",27469,147,"EDA/Kaitlyn_EDA/data/collect//HMP_2012_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__HMP_2012_pathway_coverage.rds",2077280
"ThomasAM_2018a","relative_abundance","OK",477,80,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2018a_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2018a_relative_abundance.rds",229980
"ThomasAM_2018a","pathway_abundance","OK",17388,80,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2018a_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2018a_pathway_abundance.rds",1624480
"ThomasAM_2018a","pathway_coverage","OK",17388,80,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2018a_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2018a_pathway_coverage.rds",1171932
"ThomasAM_2018b","relative_abundance","OK",503,59,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2018b_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2018b_relative_abundance.rds",229916
"ThomasAM_2018b","pathway_abundance","OK",17046,59,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2018b_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2018b_pathway_abundance.rds",1637848
"ThomasAM_2018b","pathway_coverage","OK",17046,59,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2018b_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2018b_pathway_coverage.rds",1358532
"ThomasAM_2019_c","relative_abundance","OK",519,80,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2019_c_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2019_c_relative_abundance.rds",235976
"ThomasAM_2019_c","pathway_abundance","OK",20391,80,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2019_c_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2019_c_pathway_abundance.rds",2103076
"ThomasAM_2019_c","pathway_coverage","OK",20391,80,"EDA/Kaitlyn_EDA/data/collect//ThomasAM_2019_c_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ThomasAM_2019_c_pathway_coverage.rds",1595304
"VogtmannE_2016","relative_abundance","OK",540,104,"EDA/Kaitlyn_EDA/data/collect//VogtmannE_2016_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__VogtmannE_2016_relative_abundance.rds",253620
"VogtmannE_2016","pathway_abundance","OK",17962,104,"EDA/Kaitlyn_EDA/data/collect//VogtmannE_2016_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__VogtmannE_2016_pathway_abundance.rds",2673624
"VogtmannE_2016","pathway_coverage","OK",17962,104,"EDA/Kaitlyn_EDA/data/collect//VogtmannE_2016_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__VogtmannE_2016_pathway_coverage.rds",2125980
"WirbelJ_2018","relative_abundance","OK",537,125,"EDA/Kaitlyn_EDA/data/collect//WirbelJ_2018_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__WirbelJ_2018_relative_abundance.rds",257604
"WirbelJ_2018","pathway_abundance","OK",17224,125,"EDA/Kaitlyn_EDA/data/collect//WirbelJ_2018_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__WirbelJ_2018_pathway_abundance.rds",3079508
"WirbelJ_2018","pathway_coverage","OK",17224,125,"EDA/Kaitlyn_EDA/data/collect//WirbelJ_2018_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__WirbelJ_2018_pathway_coverage.rds",2499580
"YachidaS_2019","relative_abundance","OK",718,616,"EDA/Kaitlyn_EDA/data/collect//YachidaS_2019_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__YachidaS_2019_relative_abundance.rds",441024
"YachidaS_2019","pathway_abundance","OK",31291,616,"EDA/Kaitlyn_EDA/data/collect//YachidaS_2019_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__YachidaS_2019_pathway_abundance.rds",15034636
"YachidaS_2019","pathway_coverage","OK",31291,616,"EDA/Kaitlyn_EDA/data/collect//YachidaS_2019_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__YachidaS_2019_pathway_coverage.rds",11919944
"YuJ_2015","relative_abundance","OK",575,128,"EDA/Kaitlyn_EDA/data/collect//YuJ_2015_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__YuJ_2015_relative_abundance.rds",264312
"YuJ_2015","pathway_abundance","OK",21700,128,"EDA/Kaitlyn_EDA/data/collect//YuJ_2015_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__YuJ_2015_pathway_abundance.rds",3670320
"YuJ_2015","pathway_coverage","OK",21700,128,"EDA/Kaitlyn_EDA/data/collect//YuJ_2015_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__YuJ_2015_pathway_coverage.rds",2857596
"ZellerG_2014","relative_abundance","OK",652,156,"EDA/Kaitlyn_EDA/data/collect//ZellerG_2014_relative_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ZellerG_2014_relative_abundance.rds",284380
"ZellerG_2014","pathway_abundance","OK",22620,156,"EDA/Kaitlyn_EDA/data/collect//ZellerG_2014_pathway_abundance.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ZellerG_2014_pathway_abundance.rds",4018260
"ZellerG_2014","pathway_coverage","OK",22620,156,"EDA/Kaitlyn_EDA/data/collect//ZellerG_2014_pathway_coverage.rds",NA,"EDA/Kaitlyn_EDA/data/collect//colData__ZellerG_2014_pathway_coverage.rds",3179312
